"TH(θ)", "ρ(DET)/ε"
 7.996993065E-01, 1.641922951E+00
 7.996996045E-01, 2.331380606E+00
 7.996998429E-01, 3.016403198E+00
 7.997000217E-01, 3.675060272E-01
 7.997002006E-01, 1.711939573E+00
 7.997004390E-01, 3.974630833E-01
 7.997006178E-01, 2.251470327E+00
 7.997009158E-01, 8.970949650E-01
 7.997010946E-01, 1.781745911E+00
 7.997013330E-01, 4.672126770E-01
 7.997015119E-01, 3.146037340E+00
 7.997018099E-01, 8.274621964E-01
 7.997020483E-01, 2.142042160E+00
 7.997022271E-01, 5.367519855E-01
 7.997024059E-01, 1.881104469E+00
 7.997026443E-01, 1.900924683E+00
 7.997029424E-01, 2.072676420E+00
 7.997031212E-01, 6.060810089E-01
 7.997033596E-01, 7.085809708E-01
 7.997035384E-01, 6.357290745E-01
 7.997038364E-01, 3.337950706E+00
 7.997040153E-01, 6.592295170E-01
 7.997042537E-01, 6.395189762E-01
 7.997044325E-01, 7.047576904E-01
 7.997046113E-01, 3.383456469E+00
 7.997049093E-01, 5.903177261E-01
 7.997051477E-01, 1.905092239E+00
 7.997053266E-01, 7.735760212E-01
 7.997055650E-01, 5.412237644E-01
 7.997058034E-01, 5.216162205E-01
 7.997060418E-01, 1.836447477E+00
 7.997062206E-01, 4.922370911E-01
 7.997064590E-01, 4.726724625E-01
 7.997066379E-01, 2.205942869E+00
 7.997069359E-01, 1.768013000E+00
 7.997071147E-01, 4.238359928E-01
 7.997073531E-01, 4.043314457E-01
 7.997075319E-01, 9.398307800E-01
 7.997078300E-01, 3.628139496E+00
 7.997080088E-01, 3.556451797E-01
 7.997082472E-01, 1.670614243E+00
 7.997084260E-01, 1.007928133E+00
 7.997086644E-01, 3.070662022E-01
 7.997089028E-01, 2.876646519E-01
 7.997091413E-01, 1.602690458E+00
 7.997093201E-01, 1.075815201E+00
 7.997095585E-01, 2.392358780E-01
 7.997098565E-01, 1.114513397E+00
 7.997100353E-01, 1.534976959E+00
 7.997102141E-01, 1.143491983E+00
 7.997104526E-01, 1.716158390E-01
 7.997106314E-01, 1.172431946E+00
 7.997109294E-01, 3.860511780E+00
 7.997111082E-01, 1.234445572E-01
 7.997113466E-01, 1.438608170E+00
 7.997115254E-01, 1.239808321E+00
 7.997118235E-01, 2.734580994E+00
 7.997120619E-01, 2.612614393E+00
 7.997122407E-01, 1.371405363E+00
 7.997124195E-01, 1.306974411E+00
 7.997126579E-01, 8.271217346E-03
 7.997129560E-01, 1.345260620E+00
 7.997131348E-01, 1.304412842E+00
 7.997133732E-01, 2.619705200E+00
 7.997135520E-01, 5.862784386E-02
 7.997138500E-01, 1.412096262E+00
 7.997140288E-01, 2.572022676E+00
 7.997142673E-01, 2.552979708E+00
 7.997144461E-01, 1.253166199E-01
 7.997146249E-01, 1.469216585E+00
 7.997148633E-01, 1.538331509E-01
 7.997151613E-01, 2.841599226E+00
 7.997153401E-01, 1.142592192E+00
 7.997155786E-01, 2.458022356E+00
 7.997157574E-01, 2.202215195E-01
 7.997160554E-01, 1.573535919E+00
 7.997162342E-01, 1.076320648E+00
 7.997164726E-01, 2.391807556E+00
 7.997166514E-01, 2.863996029E-01
 7.997168899E-01, 1.029112577E+00
 7.997171283E-01, 1.010259390E+00
 7.997173667E-01, 2.325803041E+00
 7.997175455E-01, 3.523674011E-01
 7.997177839E-01, 9.632015228E-01
 7.997180223E-01, 9.444084167E-01
 7.997182608E-01, 3.068112135E+00
 7.997184396E-01, 9.162509441E-01
 7.997186780E-01, 8.975007534E-01
 7.997188568E-01, 4.462423325E-01
 7.997191548E-01, 3.528797865E+00
 7.997193336E-01, 8.507003784E-01
 7.997195721E-01, 8.320102692E-01
 7.997197509E-01, 5.116994381E-01
 7.997200489E-01, 1.864732981E+00
 7.997202277E-01, 7.853600979E-01
 7.997204661E-01, 2.101098299E+00
 7.997206450E-01, 7.574214935E-01
 7.997208834E-01, 7.388172150E-01
 7.997211218E-01, 2.054595947E+00
 7.997213602E-01, 2.036025047E+00
 7.997215390E-01, 6.923816204E-01
 7.997217774E-01, 6.738374233E-01
 7.997220755E-01, 6.790521145E-01
 7.997222543E-01, 3.357032776E+00
 7.997224331E-01, 6.275520325E-01
 7.997226715E-01, 1.943428040E+00
 7.997228503E-01, 7.345273495E-01
 7.997231483E-01, 3.240867615E+00
 7.997233868E-01, 7.714250088E-01
 7.997235656E-01, 1.878865480E+00
 7.997237444E-01, 7.990531921E-01
 7.997240424E-01, 2.151805878E+00
 7.997242808E-01, 8.358306885E-01
 7.997244596E-01, 1.814513206E+00
 7.997246981E-01, 3.130517960E+00
 7.997248769E-01, 4.526460171E-01
 7.997251749E-01, 9.000260830E-01
 7.997253537E-01, 1.750371218E+00
 7.997255921E-01, 2.261823654E+00
 7.997257710E-01, 1.722946167E+00
 7.997260690E-01, 9.640111923E-01
 7.997262478E-01, 3.020786285E+00
 7.997264862E-01, 2.325715303E+00
 7.997266650E-01, 1.659104586E+00
 7.997269034E-01, 1.640902758E+00
 7.997271419E-01, 2.371223450E+00
 7.997273803E-01, 2.389396667E+00
 7.997275591E-01, 1.595473289E+00
 7.997277975E-01, 2.911672592E+00
 7.997280359E-01, 2.434754610E+00
 7.997282743E-01, 1.118528128E+00
 7.997284532E-01, 2.866390944E+00
 7.997286916E-01, 2.848308325E+00
 7.997288704E-01, 1.705989838E-01
 7.997291088E-01, 1.486880302E+00
 7.997293472E-01, 2.803176880E+00
 7.997295856E-01, 2.543175936E+00
 7.997297645E-01, 1.074817181E-01
 7.997300029E-01, 1.423819780E+00
 7.997302413E-01, 2.740173101E+00
 7.997304797E-01, 1.271804810E+00
 7.997306585E-01, 1.378905296E+00
 7.997308969E-01, 1.360969543E+00
 7.997310758E-01, 1.767897606E-02
 7.997313738E-01, 1.334558249E+00
 7.997315526E-01, 1.316205263E+00
 7.997317910E-01, 2.632655859E+00
 7.997319698E-01, 4.492759705E-02
 7.997322679E-01, 1.397101402E+00
 7.997324467E-01, 1.253715515E+00
 7.997326851E-01, 2.758164644E+00
 7.997328639E-01, 1.226998568E+00
 7.997331023E-01, 1.209208727E+00
 7.997334003E-01, 1.428844929E-01
 7.997335792E-01, 2.820404053E+00
 7.997337580E-01, 1.164809227E+00
 7.997339964E-01, 1.147079468E+00
 7.997342944E-01, 2.049503326E-01
 7.997344732E-01, 1.548116446E+00
 7.997347116E-01, 1.565801382E+00
 7.997348905E-01, 2.419475317E+00
 7.997350693E-01, 2.579822540E-01
 7.997353673E-01, 1.609938622E+00
 7.997356057E-01, 2.932510376E-01
 7.997357845E-01, 2.357763290E+00
 7.997359633E-01, 1.014653444E+00
 7.997362614E-01, 1.671550512E+00
 7.997364998E-01, 3.548061848E-01
 7.997366786E-01, 3.032199860E+00
 7.997369170E-01, 1.715430260E+00
 7.997370958E-01, 9.356613159E-01
 7.997373939E-01, 4.161510468E-01
 7.997375727E-01, 3.093508005E+00
 7.997378111E-01, 1.776681662E+00
 7.997379899E-01, 2.208766699E+00
 7.997382879E-01, 4.772856236E-01
 7.997384667E-01, 1.820303917E+00
 7.997387052E-01, 1.837722778E+00
 7.997388840E-01, 2.147775650E+00
 7.997391224E-01, 3.198118448E+00
 7.997393608E-01, 1.881194830E+00
 7.997395992E-01, 1.898553610E+00
 7.997397780E-01, 2.086994886E+00
 7.997400165E-01, 1.924559593E+00
 7.997402549E-01, 1.941875458E+00
 7.997404933E-01, 6.248798370E-01
 7.997406721E-01, 3.360717773E+00
 7.997409105E-01, 1.985090017E+00
 7.997410893E-01, 6.662380695E-01
 7.997413874E-01, 6.852934361E-01
 7.997415662E-01, 3.300354242E+00
 7.997418046E-01, 2.045410156E+00
 7.997419834E-01, 1.940259933E+00
 7.997422814E-01, 7.454967499E-01
 7.997424603E-01, 2.088367224E+00
 7.997426987E-01, 7.712337971E-01
 7.997428775E-01, 1.880200148E+00
 7.997431159E-01, 3.197363138E+00
 7.997434139E-01, 1.845974684E+00
 7.997435927E-01, 8.311367035E-01
 7.997437716E-01, 1.820350647E+00
 7.997440100E-01, 2.191026449E+00
 7.997441888E-01, 4.604847431E-01
 7.997444868E-01, 8.908293247E-01
 7.997447252E-01, 4.264328480E-01
 7.997449040E-01, 2.250625610E+00
 7.997450829E-01, 1.735216141E+00
 7.997453213E-01, 1.718240738E+00
 7.997456193E-01, 3.670072556E-01
 7.997457981E-01, 9.757397175E-01
 7.997459769E-01, 1.675877333E+00
 7.997462153E-01, 3.669675827E+00
 7.997465134E-01, 3.077919483E-01
 7.997466922E-01, 1.034921646E+00
 7.997469306E-01, 1.051792145E+00
 7.997471094E-01, 2.934163094E+00
 7.997472882E-01, 2.572033405E-01
 7.997475863E-01, 1.093893290E+00
 7.997478247E-01, 2.235634327E-01
 7.997480035E-01, 2.453369141E+00
 7.997482419E-01, 1.135887146E+00
 7.997484803E-01, 1.152654648E+00
 7.997487187E-01, 1.648588181E-01
 7.997488976E-01, 2.512037039E+00
 7.997491360E-01, 1.194498301E+00
 7.997493148E-01, 1.457317114E+00
 7.997496128E-01, 1.063644886E-01
 7.997497916E-01, 2.570494652E+00
 7.997500300E-01, 8.135986328E-02
 7.997502089E-01, 2.733227730E+00
 7.997505069E-01, 1.382337570E+00
 7.997506857E-01, 1.294485331E+00
 7.997509241E-01, 2.316594124E-02
 7.997511029E-01, 2.653640747E+00
 7.997513413E-01, 1.335964203E+00
 7.997515798E-01, 1.352525711E+00
 7.997518182E-01, 3.481769562E-02
 7.997519970E-01, 2.711587667E+00
 7.997522354E-01, 1.393854380E+00
 7.997525334E-01, 2.584148407E+00
 7.997527122E-01, 9.259104729E-02
 7.997528911E-01, 1.435075760E+00
 7.997531295E-01, 1.451534271E+00
 7.997533083E-01, 2.534764290E+00
 7.997536063E-01, 1.184091568E+00
 7.997537851E-01, 1.492605448E+00
 7.997540236E-01, 1.509003878E+00
 7.997542024E-01, 2.477344751E+00
 7.997545004E-01, 1.126735449E+00
 7.997547388E-01, 1.110386610E+00
 7.997549176E-01, 2.320222855E-01
 7.997550964E-01, 2.908666372E+00
 7.997553349E-01, 1.590738535E+00
 7.997556329E-01, 2.387538910E+00
 7.997558117E-01, 2.890746593E-01
 7.997560501E-01, 3.053367138E-01
 7.997562289E-01, 1.647697449E+00
 7.997564077E-01, 1.004537582E+00
 7.997567058E-01, 3.459167480E-01
 7.997569442E-01, 9.721145630E-01
 7.997571230E-01, 1.704446077E+00
 7.997573018E-01, 2.282074213E+00
 7.997575998E-01, 4.025485516E-01
 7.997578382E-01, 9.155395031E-01
 7.997580171E-01, 4.267549515E-01
 7.997582555E-01, 4.428710938E-01
 7.997584343E-01, 1.785150766E+00
 7.997587323E-01, 2.193401337E+00
 7.997589111E-01, 4.830863476E-01
 7.997591496E-01, 4.991424084E-01
 7.997593284E-01, 1.841388702E+00
 7.997595668E-01, 5.231943130E-01
 7.997598052E-01, 5.392074585E-01
 7.997600436E-01, 7.790184021E-01
 7.997602224E-01, 1.897416353E+00
 7.997604609E-01, 5.791652203E-01
 7.997606993E-01, 5.951182842E-01
 7.997609377E-01, 7.231643200E-01
 7.997611165E-01, 6.190156937E-01
 7.997613549E-01, 6.349258423E-01
 7.997615337E-01, 3.311307669E+00
 7.997618318E-01, 6.675205231E-01
 7.997620106E-01, 6.746261120E-01
 7.997622490E-01, 6.437375546E-01
 7.997624278E-01, 2.032608032E+00
 7.997627258E-01, 6.120870113E-01
 7.997629046E-01, 7.300262451E-01
 7.997631431E-01, 5.883941650E-01
 7.997633219E-01, 2.087914705E+00
 7.997635603E-01, 2.103677988E+00
 7.997637987E-01, 5.489919186E-01
 7.997640371E-01, 5.332610607E-01
 7.997642159E-01, 2.143011093E+00
 7.997644544E-01, 8.245086670E-01
 7.997647524E-01, 3.154579878E+00
 7.997649312E-01, 4.783382416E-01
 7.997651100E-01, 8.636939526E-01
 7.997653484E-01, 8.793380260E-01
 7.997655272E-01, 3.107639074E+00
 7.997658253E-01, 1.757826090E+00
 7.997660637E-01, 1.742231607E+00
 7.997662425E-01, 9.339570999E-01
 7.997664213E-01, 2.275941133E+00
 7.997667193E-01, 1.703320503E+00
 7.997669578E-01, 1.687786102E+00
 7.997671366E-01, 3.458297253E-01
 7.997673750E-01, 1.664516687E+00
 7.997675538E-01, 1.011619568E+00
 7.997678518E-01, 2.967743635E+00
 7.997680306E-01, 2.916278839E-01
 7.997682691E-01, 1.610371590E+00
 7.997684479E-01, 1.065727949E+00
 7.997687459E-01, 2.415338755E+00
 7.997689247E-01, 2.376363277E-01
 7.997691631E-01, 1.556436777E+00
 7.997693419E-01, 1.119626045E+00
 7.997695804E-01, 1.991996765E-01
 7.997698188E-01, 1.518040657E+00
 7.997700572E-01, 1.502712250E+00
 7.997702360E-01, 1.608703136E-01
 7.997704744E-01, 1.455686092E-01
 7.997707129E-01, 1.464466333E+00
 7.997709513E-01, 2.783379316E+00
 7.997711301E-01, 1.073894501E-01
 7.997713685E-01, 9.214782715E-02
 7.997715473E-01, 1.249645948E+00
 7.997717857E-01, 6.931757927E-02
 7.997720242E-01, 5.411887169E-02
 7.997722626E-01, 1.373113871E+00
 7.997724414E-01, 1.302823067E+00
 7.997727394E-01, 2.652153015E+00
 7.997729182E-01, 1.058578491E-03
 7.997731566E-01, 1.320110321E+00
 7.997733355E-01, 2.161717415E-02
 7.997735739E-01, 3.671288490E-02
 7.997737527E-01, 2.712596893E+00
 7.997740507E-01, 1.267317057E+00
 7.997742295E-01, 7.437705994E-02
 7.997744679E-01, 8.941268921E-02
 7.997746468E-01, 1.431092024E+00
 7.997749448E-01, 4.114434958E+00
 7.997751236E-01, 1.269266605E-01
 7.997753620E-01, 1.192262888E+00
 7.997755408E-01, 1.483548164E+00
 7.997757792E-01, 1.643333435E-01
 7.997760773E-01, 1.513428688E+00
 7.997762561E-01, 1.139980316E+00
 7.997764349E-01, 1.535794020E+00
 7.997766733E-01, 2.165224552E-01
 7.997769713E-01, 1.565554380E+00
 7.997771502E-01, 1.087908030E+00
 7.997773886E-01, 2.407226324E+00
 7.997775674E-01, 1.065655708E+00
 7.997777462E-01, 1.610066175E+00
 7.997780442E-01, 2.370201111E+00
 7.997782826E-01, 2.973809481E+00
 7.997784615E-01, 1.013883829E+00
 7.997786403E-01, 1.661801338E+00
 7.997789383E-01, 2.318546057E+00
 7.997791767E-01, 3.025421143E+00
 7.997793555E-01, 9.623222351E-01
 7.997795939E-01, 2.281778336E+00
 7.997797728E-01, 3.938601017E-01
 7.997800708E-01, 1.742674589E+00
 7.997802496E-01, 9.109709263E-01
 7.997804880E-01, 2.230483770E+00
 7.997806668E-01, 4.451179504E-01
 7.997809649E-01, 1.793869019E+00
 7.997811437E-01, 2.193973541E+00
 7.997813821E-01, 2.179399490E+00
 7.997815609E-01, 4.961655140E-01
 7.997817993E-01, 8.234293461E-01
 7.997820377E-01, 2.143039465E+00
 7.997822762E-01, 3.200778961E+00
 7.997824550E-01, 7.871360779E-01
 7.997826934E-01, 7.726488113E-01
 7.997829318E-01, 2.092315674E+00
 7.997831702E-01, 3.411997795E+00
 7.997833490E-01, 7.365057468E-01
 7.997835875E-01, 2.056213140E+00
 7.997837663E-01, 6.192626953E-01
 7.997840643E-01, 1.967796326E+00
 7.997842431E-01, 6.860857010E-01
 7.997844815E-01, 2.005849838E+00
 7.997846603E-01, 6.695892811E-01
 7.997849584E-01, 2.018059492E+00
 7.997851968E-01, 6.982529163E-01
 7.997853756E-01, 1.955696821E+00
 7.997855544E-01, 6.144218445E-01
 7.997857928E-01, 6.001405716E-01
 7.997860909E-01, 7.482490540E-01
 7.997862697E-01, 3.239878654E+00
 7.997864485E-01, 5.645124912E-01
 7.997866869E-01, 5.502912998E-01
 7.997869849E-01, 7.980349064E-01
 7.997871637E-01, 3.190142870E+00
 7.997874022E-01, 2.153428078E+00
 7.997875810E-01, 1.834772110E+00
 7.997877598E-01, 8.405411243E-01
 7.997880578E-01, 2.188793898E+00
 7.997882962E-01, 8.687927723E-01
 7.997884750E-01, 1.785340071E+00
 7.997887135E-01, 3.558168411E+00
 7.997889519E-01, 2.238125801E+00
 7.997891903E-01, 9.180679321E-01
 7.997893691E-01, 1.736118317E+00
 7.997896075E-01, 2.273234129E+00
 7.997897863E-01, 3.809759617E-01
 7.997900844E-01, 9.671328068E-01
 7.997902632E-01, 3.642345428E+00
 7.997905016E-01, 2.322205544E+00
 7.997906804E-01, 1.666166306E+00
 7.997909784E-01, 1.015987396E+00
 7.997911572E-01, 2.972412109E+00
 7.997913957E-01, 2.370966673E+00
 7.997915745E-01, 1.617455244E+00
 7.997918129E-01, 3.725904465E+00
 7.997919917E-01, 2.625398636E-01
 7.997922897E-01, 2.419517517E+00
 7.997924685E-01, 1.568954468E+00
 7.997927070E-01, 2.889236450E+00
 7.997928858E-01, 2.141325474E-01
 7.997931838E-01, 1.133758783E+00
 7.997933626E-01, 2.854762316E+00
 7.997936010E-01, 2.488511086E+00
 7.997937799E-01, 1.659355164E-01
 7.997940183E-01, 1.486299515E+00
 7.997942567E-01, 2.806678772E+00
 7.997944951E-01, 2.536551237E+00
 7.997946739E-01, 1.179487705E-01
 7.997949123E-01, 2.772462130E+00
 7.997952104E-01, 9.062218666E-02
 7.997953892E-01, 1.250289917E+00
 7.997955680E-01, 1.404262543E+00
 7.997958064E-01, 2.724739075E+00
 7.997959852E-01, 4.976105690E-02
 7.997962832E-01, 1.297912836E+00
 7.997965217E-01, 1.311480761E+00
 7.997967005E-01, 2.677226305E+00
 7.997968793E-01, 2.285003662E-03
 7.997971773E-01, 1.345325470E+00
 7.997974157E-01, 2.474975586E-02
 7.997975945E-01, 2.699663877E+00
 7.997977734E-01, 1.289101362E+00
 7.997980118E-01, 1.275634527E+00
 7.997983098E-01, 7.189536095E-02
 7.997984886E-01, 3.916910887E+00
 7.997987270E-01, 1.426115036E+00
 7.997989058E-01, 1.228635788E+00
 7.997992039E-01, 1.188306808E-01
