"EXP(TH(2φ))", "N", "AVG(ρ(TH))/ε", "MAX(ρ(TH))/ε", "AVG(ρ(CH))/ε", "MAX(ρ(CH))/ε", "AVG(ρ(SH))/ε", "MAX(ρ(SH))/ε", "AVG(ρ(th))/ε", "MAX(ρ(th))/ε", "AVG(ρ(ch))/ε", "MAX(ρ(ch))/ε", "AVG(ρ(sh))/ε", "MAX(ρ(sh))/ε"
-64, 1073741824, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 2.000000000000000000000E+0000, 2.000000000000000000000E+0000, 1.961651312833829588591E+0000, 2.666666666588266207705E+0000
-63, 1073741824, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000
-62, 1073741824, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 4.999897237867116928101E-0001, 2.000000000000000000000E+0000, 3.646381429403667755032E-0001, 1.599999998692499242017E+0000
-61, 1073741824, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 5.000186264514923095703E-0001, 2.000000000000000000000E+0000, 5.071758527229117945746E-0001, 2.461538461058654640201E+0000
-60, 1073741824, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 5.000023711472749710083E-0001, 2.000000000000000000000E+0000, 4.998476291415140519595E-0001, 2.559999999821392177259E+0000
-59, 1073741824, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 4.999857302755117416382E-0001, 2.000000000000000000000E+0000, 4.953626199805332237315E-0001, 2.612244892268396204467E+0000
-58, 1073741824, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 5.000506117939949035645E-0001, 2.000000000000000000000E+0000, 4.930160973014844218325E-0001, 2.639175256627558607369E+0000
-57, 1073741824, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 0.000000000000000000000E+0000, 4.999899733811616897583E-0001, 2.000000000000000000000E+0000, 4.916996961496703950039E-0001, 2.652849740346666286208E+0000
-56, 1073741824, 3.088197936735125563276E-0015, 4.736951564352000375488E-0015, 3.552713678800500929356E-0015, 3.552713678800500929356E-0015, 6.572785492481455157676E-0015, 9.473903128704000750976E-0015, 3.088197936735125563276E-0015, 4.736951564352000375488E-0015, 5.000097546726482988442E-0001, 1.999999999999996447286E+0000, 4.910634200003855514670E-0001, 2.659740259544029715190E+0000
-55, 1073741824, 8.680274726710591813186E-0015, 1.505818950560728561036E-0014, 5.329147770252518946394E-0015, 7.105427357601001858711E-0015, 1.366142752510613901421E-0014, 2.258728425841092841553E-0014, 8.680274726710591813186E-0015, 1.505818950560728561036E-0014, 5.000352878123548449537E-0001, 1.999999999999996447286E+0000, 4.907713927971280348838E-0001, 2.663198959251037783682E+0000
-54, 1073741824, 3.321988420485649069281E-0014, 5.763688480358817958214E-0014, 1.792277430132720163430E-0014, 2.842170943040400743484E-0014, 5.107208594761112490718E-0014, 8.645532720538226937321E-0014, 3.321988420485649069281E-0014, 5.763688480358817958214E-0014, 4.999851658940404897649E-0001, 1.999999999999992894573E+0000, 4.905596516529192881696E-0001, 2.664931684712954133619E+0000
-53, 1073741824, 1.328038642489865308149E-0013, 2.281548387817814450234E-0013, 6.765207059774034297579E-0014, 1.136868377216160297394E-0013, 2.004065175178456357146E-0013, 3.422322581726721675352E-0013, 1.328038642489865308149E-0013, 2.281548387817814450234E-0013, 5.000226423144678847645E-0001, 1.999999999999971578291E+0000, 4.905170976110649113371E-0001, 2.665798892148960755453E+0000
-52, 1073741824, 5.307327607168460602242E-0013, 9.102728552385899354807E-0013, 2.666009742357394910015E-0013, 4.547473508864641189575E-0013, 7.973404863072210204714E-0013, 1.365409282857884903221E-0012, 5.307327607168460602242E-0013, 9.102728552385899354807E-0013, 4.999666288496397078809E-0001, 1.999999999999886313162E+0000, 4.904189694507005298242E-0001, 2.666232705941283502221E+0000
-51, 1073741824, 2.122331635028068703655E-0012, 3.638756211446208561728E-0012, 1.062375783921472231127E-0012, 1.818989403545856475830E-0012, 3.184692113910132899978E-0012, 5.458134317169312842592E-0012, 2.122331635028068703655E-0012, 3.638756211446208561728E-0012, 5.000542551284379478170E-0001, 1.999999999999545252649E+0000, 4.904935963084689399102E-0001, 2.666449670071679223180E+0000
-50, 1073741824, 8.488834283959243914908E-0012, 1.455269244575388719034E-0011, 4.245640218974019328239E-0012, 7.275957614183425903320E-0012, 1.273447130816876450022E-0011, 2.182903866863083078551E-0011, 8.488834283959243914908E-0012, 1.455269244575388719034E-0011, 5.000113490990171164421E-0001, 1.999999999998181010596E+0000, 4.904455934257436281206E-0001, 2.666558160618000607411E+0000
-49, 1073741824, 3.395509014669775848978E-0011, 5.820843808183835830401E-0011, 1.697876561549419212315E-0011, 2.910383045673370361328E-0011, 5.093385779831811701589E-0011, 8.731265712275753745601E-0011, 3.395509014669775848978E-0011, 5.820843808183835830401E-0011, 4.999679904516005166833E-0001, 1.999999999992720489672E+0000, 4.903905737434559070406E-0001, 2.666612413531859294169E+0000
-48, 1073741824, 1.358189081059518300196E-0010, 2.328314206075721380687E-0010, 6.791067542358454469460E-0011, 1.164153218269348144531E-0010, 2.037295852424359841046E-0010, 3.492471309113582071030E-0010, 1.358189081059518300196E-0010, 2.328314206075721380687E-0010, 5.000147763979235326918E-0001, 1.999999999970892616830E+0000, 4.904228200688258467280E-0001, 2.666639539448923891837E+0000
-47, 1073741824, 5.432756282367956638824E-0010, 9.313233515243839051243E-0010, 2.716390347070507262282E-0010, 4.656612873077392578125E-0010, 8.149146638131665639096E-0010, 1.396985027286575857686E-0009, 5.432756282367956638824E-0010, 9.313233515243839051243E-0010, 4.999955074357245513920E-0001, 1.999999999883581125459E+0000, 4.904042693127485125017E-0001, 2.666653101803916343440E+0000
-46, 1073741824, 2.173104477335618156350E-0009, 3.725291075434886166717E-0009, 1.086553459744931251041E-0009, 1.862645149230957031250E-0009, 3.259657936642786566740E-0009, 5.587936613152329250076E-0009, 2.173104477335618156350E-0009, 3.725291075434886166717E-0009, 4.999910058298582686962E-0001, 1.999999999534335159979E+0000, 4.904109299873028786242E-0001, 2.666659881477476379970E+0000
-45, 1073741824, 8.692481958046966616713E-0009, 1.490116196979751371391E-0008, 4.346242200364941286209E-0009, 7.450580596923828125000E-0009, 1.303872415836573574809E-0008, 2.235174295469627057086E-0008, 8.692481958046966616713E-0009, 1.490116196979751371391E-0008, 5.000204093132856747842E-0001, 1.999999998137347745342E+0000, 4.904302301644848279151E-0001, 2.666663262908200526990E+0000
-44, 1073741824, 3.476871995485704373343E-0008, 5.960464555045231850686E-0008, 1.738436119867402089430E-0008, 2.980232238769531250000E-0008, 5.215308115343174159589E-0008, 8.940696832567847776029E-0008, 3.476871995485704373343E-0008, 5.960464555045231850686E-0008, 5.000253127262518673439E-0001, 1.999999992549405192221E+0000, 4.904333894833752381656E-0001, 2.666664918727134656499E+0000
-43, 1073741824, 1.390778182413719274083E-0007, 2.384185797726816790405E-0007, 6.953891034197290555720E-0008, 1.192092895507812500000E-0007, 2.086167285834254799327E-0007, 3.576278696590225185608E-0007, 1.390778182413719274083E-0007, 2.384185797726816790405E-0007, 5.000340075513769641112E-0001, 1.999999970197649190595E+0000, 4.904506275540996711669E-0001, 2.666665617318474304063E+0000
-42, 1073741824, 5.563189940672812934435E-0007, 9.536743171826207867024E-0007, 2.781594982548762168102E-0007, 4.768371582031250000000E-0007, 8.344784923221534207031E-0007, 1.430511475773931180054E-0006, 5.563189940672812934435E-0007, 9.536743171826207867024E-0007, 4.999912952411752076903E-0001, 1.999999880790653605800E+0000, 4.904008039185427974372E-0001, 2.666665436081731250202E+0000
-41, 1073741824, 2.225246416489842922974E-0006, 3.814697266346080431918E-0006, 1.112623209466187568459E-0006, 1.907348632812500000000E-0006, 3.337869625956047925138E-0006, 5.722045899519120647877E-0006, 2.225246416489842922974E-0006, 3.814697266346080431918E-0006, 5.000071779926262227624E-0001, 1.999999523162724557324E+0000, 4.904315473471557889203E-0001, 2.666663217846533951891E+0000
-40, 1073741824, 8.901010958368173892108E-0006, 1.525878904147930603356E-0005, 4.450505480405351899886E-0006, 7.629394520591858963598E-0006, 1.335151643877354656594E-0005, 2.288818356221895905035E-0005, 8.901010958368173892108E-0006, 1.525878904147930603356E-0005, 4.999441985047522768442E-0001, 1.999998092651139813825E+0000, 4.903659019203608244281E-0001, 2.666653684703610855613E+0000
-39, 1073741824, 3.560470681462783627972E-0005, 6.103515605492524005325E-0005, 1.780235340853513707336E-0005, 3.051757802907673067239E-0005, 5.340706022316295751577E-0005, 9.155273408327603850100E-0005, 3.560470681462783627972E-0005, 6.103515605492524005325E-0005, 5.000146808606171141369E-0001, 1.999992370605006897222E+0000, 4.904420980488912563782E-0001, 2.666615112715640685086E+0000
-38, 1073741824, 1.424136106112865230761E-0004, 2.441406244917196436465E-0004, 7.120680530686449630437E-0005, 1.220703122477573288052E-0004, 2.136204159181510282427E-0004, 3.662109367402440007315E-0004, 1.424136106112865230761E-0004, 2.441406244917196436465E-0004, 5.000391857037726128688E-0001, 1.999969482420908661879E+0000, 4.905146269207434678351E-0001, 2.666460646262631040483E+0000
-37, 1073741824, 5.696584057061765963818E-0004, 9.765624999251143997302E-0004, 2.848292028543095213400E-0004, 4.882812499644728632120E-0004, 8.544876085604861003190E-0004, 1.464843749890336134854E-0003, 5.696584057061765963818E-0004, 9.765624999251143997302E-0004, 5.001561948990734840592E-0001, 1.999877929685617061750E+0000, 4.908605979086355729901E-0001, 2.665842678142841160988E+0000
-36, 1073741824, 2.278627653925050862905E-0003, 3.906249997782178494412E-0003, 1.139313826963746687149E-0003, 1.953124998891553332214E-0003, 3.417941480888797557600E-0003, 5.859374996674155920037E-0003, 2.278627653925050862905E-0003, 3.906249997782178494412E-0003, 5.006305527870956120676E-0001, 1.999511718745971222688E+0000, 4.921786566621100203409E-0001, 2.663370761343541582161E+0000
-35, 1073741824, 9.114588929740091881221E-0003, 1.562499997892905615434E-0002, 4.557294464871267178266E-0003, 7.812499989466203942353E-0003, 1.367188339461135907976E-0002, 2.343749996839447240993E-0002, 9.114588929740091881221E-0003, 1.562499997892905615434E-0002, 5.023156039286444199576E-0001, 1.998046874992194688047E+0000, 4.972870143993628587989E-0001, 2.653483068637250468898E+0000
-34, 1073741824, 3.645867816128438490406E-0002, 6.249999987805732036857E-0002, 1.822933908064341365586E-0002, 3.124999993902832784437E-0002, 5.468801724192779858772E-0002, 9.374999981708598055269E-0002, 3.645867816128438490406E-0002, 6.249999987805732036857E-0002, 5.091043346961789528945E-0001, 1.992187499975962339248E+0000, 5.177507988044757887697E-0001, 2.613932275171308163817E+0000
-33, 1073741824, 1.458342783294309832639E-0001, 2.499999996928538045303E-0001, 7.291713916471671293187E-0002, 1.249999998464268458056E-0001, 2.187514174941476961913E-0001, 3.749999995392807067929E-0001, 1.458342783294309832639E-0001, 2.499999996928538045303E-0001, 5.364371360318157003015E-0001, 1.968749999969375608085E+0000, 5.997688528793016339966E-0001, 2.455729161704317202454E+0000
-32, 1073741824, 3.788111038689793921583E-0001, 6.399110638233180768191E-0001, 2.916710060983662813390E-0001, 4.999999995652188999748E-0001, 4.592694147817393300757E-0001, 9.374999999434590972120E-0001, 4.757571754891606550135E-0001, 1.263089931212789600262E+0000, 1.016160470080515131732E+0000, 1.874999999903099734398E+0000, 1.132194622599097850537E+0000, 3.156249999183744230897E+0000
-31, 1073741824, 4.887479347750105335109E-0001, 1.400483395365294319237E+0000, 6.628931198713466537646E-0001, 1.249999997558646214151E+0000, 7.859422760506883092318E-0001, 2.100725093047941478678E+0000, 4.729625831123716827310E-0001, 1.508928543869162720572E+0000, 8.552961995774089202950E-0001, 2.249999992952886884509E+0000, 1.076659456453184138014E+0000, 3.302359702836404420078E+0000
-30, 1073741824, 4.925798396513230377304E-0001, 1.468355365869377685136E+0000, 5.295584027281455958551E-0001, 1.249999999976100894761E+0000, 8.255709368193112529125E-0001, 2.621027797485167363999E+0000, 5.054797048836562190266E-0001, 1.666666601280062495210E+0000, 8.468927790371566248451E-0001, 2.249999988442148434596E+0000, 1.126840644065305599535E+0000, 3.833333118549722643971E+0000
-29, 1073741824, 4.597315057908748007951E-0001, 1.502416978382062289626E+0000, 5.312511715365679269745E-0001, 1.249999999200607447118E+0000, 6.859410766141766343308E-0001, 2.325723705806025059954E+0000, 4.765158780309019108886E-0001, 1.887505919904759450633E+0000, 8.389663700695930500268E-0001, 2.249999995995999312003E+0000, 1.040393703551173532961E+0000, 4.141656202223732496728E+0000
-28, 1073741824, 4.650652547029597885854E-0001, 1.717284280230994870433E+0000, 5.312754332565717683817E-0001, 1.249999999743813809659E+0000, 7.536382850877020200240E-0001, 2.992362296770167487894E+0000, 4.859689933670935906092E-0001, 1.995875380555950261430E+0000, 8.367320553908327855134E-0001, 2.249999979791422065657E+0000, 1.047513589568112230828E+0000, 4.103618742212809440800E+0000
-27, 1073741824, 4.646862482266070732384E-0001, 1.827450575670999952786E+0000, 5.312770522020478753195E-0001, 1.249999999944460397464E+0000, 7.442043193420012271575E-0001, 3.146110762619353087310E+0000, 4.833753027084934476758E-0001, 1.978502585187445096806E+0000, 8.361356529770835033310E-0001, 2.249999996156681406261E+0000, 1.043880146205229850862E+0000, 4.133670756827209651938E+0000
-26, 1073741824, 4.655805423093983537769E-0001, 1.812848896912963324001E+0000, 5.312461682472572763664E-0001, 1.249999997631100140094E+0000, 7.446269754402449200808E-0001, 3.104820560069414943148E+0000, 4.855248102155121427219E-0001, 2.065523320911963253324E+0000, 8.359461419051650455052E-0001, 2.249999970366740473756E+0000, 1.041487498544984771044E+0000, 4.199379012609338905529E+0000
-25, 1073741824, 4.670140294505062667450E-0001, 1.860621946120468612944E+0000, 5.312447491925719335836E-0001, 1.249999999110592030963E+0000, 7.473466246823148119095E-0001, 3.211869716174746659104E+0000, 4.869914807959811492461E-0001, 2.094384548209789763066E+0000, 8.359371734079866383185E-0001, 2.249999989386867357207E+0000, 1.049447947064405684683E+0000, 4.286491151937376413274E+0000
-24, 1073741824, 4.653879048382560128146E-0001, 1.862731089498604582474E+0000, 5.312489862378741023762E-0001, 1.249999997067595327512E+0000, 7.470890329562902208448E-0001, 3.217740780239653670749E+0000, 4.857633771876284071303E-0001, 2.114984285864616703382E+0000, 8.359489148803698160439E-0001, 2.249999982950039150069E+0000, 1.047322700579918272793E+0000, 4.326782324949853861974E+0000
-23, 1073741824, 4.655449313755779067191E-0001, 1.869359393808142573549E+0000, 5.312439982759226026663E-0001, 1.249999998223593379108E+0000, 7.495705610463774578408E-0001, 3.228534832655026123605E+0000, 4.858708346930118186016E-0001, 2.122274879388797323818E+0000, 8.359396317972338748617E-0001, 2.249999983765419622737E+0000, 1.050758469062290900124E+0000, 4.343990554862421782852E+0000
-22, 1073741824, 4.652368264235282934872E-0001, 1.871539616909845780325E+0000, 5.312304856770261103093E-0001, 1.249999996876614697276E+0000, 7.486741551369109802947E-0001, 3.240681577442988908985E+0000, 4.855106823534798244663E-0001, 2.119057822831489100587E+0000, 8.359192241727540734416E-0001, 2.249999950278275513529E+0000, 1.057003859095418778362E+0000, 4.410673466195981877643E+0000
-21, 1073741824, 4.654271610344473425086E-0001, 1.870960820661652901750E+0000, 5.312487504867374119041E-0001, 1.249999956373189613018E+0000, 7.488894028365427372126E-0001, 3.246878559064617274664E+0000, 4.856916666793814053617E-0001, 2.120016366877043736842E+0000, 8.359497015918316693358E-0001, 2.249999834226653591266E+0000, 1.072538047301217037077E+0000, 4.411664026432424890227E+0000
-20, 1073741824, 4.653288393047395259214E-0001, 1.871659446197681678058E+0000, 5.312503940208937728804E-0001, 1.249999607321731419732E+0000, 7.485851857760304547341E-0001, 3.239609748176558380756E+0000, 4.856352677070912952006E-0001, 2.118241976869770001685E+0000, 8.359482829630395957355E-0001, 2.249999367191350444831E+0000, 1.069385064662310768385E+0000, 4.384581616623523142868E+0000
-19, 1073741824, 4.653161013797172076365E-0001, 1.871563573708275365488E+0000, 5.312649414656717628958E-0001, 1.249993937888165215980E+0000, 7.487113817519725365797E-0001, 3.242383960106989648906E+0000, 4.856160360338042746750E-0001, 2.120171535939138851014E+0000, 8.358986231670345988909E-0001, 2.249993847806539771588E+0000, 1.069340045009592539402E+0000, 4.412743443491816549061E+0000
-18, 1073741824, 4.650736611016185105922E-0001, 1.872997923993439965557E+0000, 5.311164186851637235911E-0001, 1.249907970625651228803E+0000, 7.484381602863810721222E-0001, 3.238011974992826749156E+0000, 4.853691303520602858442E-0001, 2.120425186935606729740E+0000, 8.355514809704088539002E-0001, 2.249906667290177823273E+0000, 1.068046353224043503010E+0000, 4.412486314855576229823E+0000
-17, 1073741824, 4.617080595367736251470E-0001, 1.868833513928739575777E+0000, 5.290370567117698045578E-0001, 1.248523532622378929625E+0000, 7.466120187757281475139E-0001, 3.245154584970687458509E+0000, 4.821106549905305707286E-0001, 2.116289627860031105277E+0000, 8.297457009291253442785E-0001, 2.248534054863574703383E+0000, 1.048569199108769571851E+0000, 4.408983794069397656705E+0000
-16, 1073741824, 4.579699325150335201863E-0001, 1.807468991453353054115E+0000, 5.105211893011943836803E-0001, 1.226547101359656787573E+0000, 7.669390260450885630973E-0001, 3.278979433998602144783E+0000, 4.784953336943886703848E-0001, 2.058484412973237045332E+0000, 7.478516278439533542830E-0001, 2.226546808227038881309E+0000, 9.257623210448665962947E-0001, 4.439912050382350006392E+0000
-15, 1073741824, 4.583972344430304555487E-0001, 1.869246617170432336745E+0000, 5.110230955974269627262E-0001, 1.249992441320070099121E+0000, 7.328045031572554086117E-0001, 3.276985064829543746603E+0000, 4.789142917668110719480E-0001, 2.120213121032267062411E+0000, 6.409290469397748003165E-0001, 2.249876952363566605020E+0000, 8.555593295822958937822E-0001, 4.369134090323182746756E+0000
-14, 1073741824, 4.584204602455289775657E-0001, 1.868161853502155733263E+0000, 5.104124997041628285136E-0001, 1.249976631980243586451E+0000, 7.402259988659872515285E-0001, 3.667998452600565833870E+0000, 4.789167568683621766211E-0001, 2.117991326726456073675E+0000, 6.554250224623757859554E-0001, 2.249872814492928711598E+0000, 8.686117452630442693540E-0001, 4.826719176292186723632E+0000
-13, 1073741824, 4.584034128269222402767E-0001, 1.859218778841411677423E+0000, 5.104130927868966165355E-0001, 1.249990575892946597923E+0000, 7.394568365643941709131E-0001, 3.953679391117816163107E+0000, 4.788904722678362095033E-0001, 2.113593979537912684622E+0000, 6.553861344975684117624E-0001, 2.249924481035438316793E+0000, 8.676710643694224477297E-0001, 4.977447049108785960731E+0000
-12, 1073741824, 4.584045745881178587601E-0001, 1.867619282544726816919E+0000, 5.104080128261818646473E-0001, 1.249984551278559369234E+0000, 7.394981517819683064354E-0001, 3.887719336754501584069E+0000, 4.788450173050103038207E-0001, 2.111046084956777232676E+0000, 6.553055491365833792166E-0001, 2.249657804390868395670E+0000, 8.675738199960987178677E-0001, 4.968322173529194137522E+0000
-11, 1073741824, 4.584083866819018426256E-0001, 1.863121478367075161800E+0000, 5.104077796908614429610E-0001, 1.249954014392725082063E+0000, 7.393428718397311623011E-0001, 3.926605337315354180781E+0000, 4.788013612414293065213E-0001, 2.109593454833930215582E+0000, 6.531986771401817907291E-0001, 2.249194175532073806198E+0000, 8.647042061298772634017E-0001, 4.918753801890963351642E+0000
-10, 1073741824, 4.584287481825846794039E-0001, 1.862805021972272062491E+0000, 5.104222459501688741294E-0001, 1.249980350118817778300E+0000, 7.393502859669799214330E-0001, 3.939917291623631824052E+0000, 4.787330078642585980041E-0001, 2.112981601560160460922E+0000, 6.186809602179855984834E-0001, 2.246437749419132726850E+0000, 8.376117889068921836791E-0001, 5.047779860582964352452E+0000
 -9, 1073741824, 4.584048951645067462324E-0001, 1.864346616771189213179E+0000, 5.104295338486046346316E-0001, 1.249954149739054815779E+0000, 7.393567999334935348073E-0001, 3.997200550486961824529E+0000, 4.785086501659446252935E-0001, 2.108949044513455780993E+0000, 6.142346067707631969025E-0001, 2.247658468579350472666E+0000, 8.345819990372040676037E-0001, 4.870331558540876186277E+0000
 -8, 1073741824, 4.584057218327128594937E-0001, 1.868713345517542636327E+0000, 5.104147699996025709530E-0001, 1.249982532290561499793E+0000, 7.393683848301668162583E-0001, 3.963550584518695826201E+0000, 4.781588221143227477506E-0001, 2.110606219659195273101E+0000, 6.139860004111636371954E-0001, 2.248307412293583808121E+0000, 8.341768429343047067833E-0001, 4.858362078185274802669E+0000
 -7, 1073741824, 4.584276857134272696412E-0001, 1.864931582825035951103E+0000, 5.103953535576227539875E-0001, 1.249975840014054307099E+0000, 7.393545772863430454341E-0001, 3.925168706511490133896E+0000, 4.775910774033513481344E-0001, 2.104046013941171776948E+0000, 6.135693656093722288095E-0001, 2.246828889883940476309E+0000, 8.335287874429886542186E-0001, 5.152529384739832047019E+0000
 -6, 1073741824, 4.584954464468948983879E-0001, 1.863801427559823960175E+0000, 5.103842999184019846845E-0001, 1.250086873212805533197E+0000, 7.394517693538881610339E-0001, 3.908035372984552255053E+0000, 4.766388876946461664064E-0001, 2.112867653882063950100E+0000, 6.127383556626134379541E-0001, 2.247698981577447652801E+0000, 8.323866090296511173741E-0001, 4.907305641109363765349E+0000
 -5, 1073741824, 4.587935961781782717616E-0001, 1.869099428173089532854E+0000, 5.103083382765316631557E-0001, 1.250399745880200513388E+0000, 7.398651837502295305574E-0001, 3.971645566382176403674E+0000, 4.752196059504371128299E-0001, 2.108031108292268633876E+0000, 6.110358908884327251348E-0001, 2.246296384239395502549E+0000, 8.304655027860763089083E-0001, 4.833412991230323506243E+0000
 -4, 1073741824, 4.598736789513147907926E-0001, 1.874823117191602752260E+0000, 5.099066694239270924409E-0001, 1.252924865366315097047E+0000, 7.412903327949176141500E-0001, 4.000733213269420627892E+0000, 4.736469677555985142726E-0001, 2.107513671415709127744E+0000, 6.076415986783947071214E-0001, 2.245481601899794032791E+0000, 8.278901607631809415053E-0001, 4.916957231374874009323E+0000
 -3, 1073741824, 4.641206252622799812542E-0001, 1.884325564293023967064E+0000, 5.083549774084756491348E-0001, 1.271494125752582829233E+0000, 7.469518751645565978044E-0001, 4.008507515977059047088E+0000, 4.742746983362161368020E-0001, 2.107367037733369704942E+0000, 6.006548336145446211357E-0001, 2.248564805638377415048E+0000, 8.266448245979359854131E-0001, 4.900677299468680188798E+0000
 -2, 1073741824, 4.796529363342405702231E-0001, 1.937833550369559242960E+0000, 5.018285024129291060155E-0001, 1.366228045005680151678E+0000, 7.683248800979768139413E-0001, 4.136073395421033816377E+0000, 4.864063662870011240974E-0001, 2.096939696863240733284E+0000, 5.852555600927754509460E-0001, 2.274608325527964127280E+0000, 8.370310413252448311013E-0001, 5.038143004106213276804E+0000
 -1, 1073741824, 5.122922199166479673083E-0001, 2.059546810323789656460E+0000, 5.148931631659785917619E-0001, 3.635630814747857269527E+0000, 8.979205836924992188852E-0001, 5.865373994087033221383E+0000, 5.142836741928120193884E-0001, 2.159236450712628226827E+0000, 6.041140747173752004874E-0001, 4.660006616029084589365E+0000, 9.571424609692935131474E-0001, 6.548894272617589474637E+0000
